category,city,name,region,subcategory,tags
Достопримечательности,Петрозаводск,Прибрежный парк Победы и Онежская набережная,Республика Карелия,Природа и парки,Парки
Достопримечательности,Петрозаводск,Дом куклы Татьяны Калининой,Республика Карелия,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Петрозаводск,Маленькая страна,Республика Карелия,Покупки,"Театры,Культурные объекты и достопримечательности,Художественные галереи"
Достопримечательности,Киркколахти,Карельский зоопарк,Республика Карелия,Зоопарки и океанариумы,Зоопарки
Достопримечательности,Петрозаводск,"Частная художественная галерея ""Дом Куклы""",Республика Карелия,Покупки,Художественные галереи
Достопримечательности,Питкяранта,Водопад Белые мосты,Республика Карелия,Природа и парки,"Водопады,Водоемы"
Достопримечательности,Петрозаводск,Ботанический Сад,Республика Карелия,Природа и парки,Сады
Достопримечательности,Кондопожский район,Церковь Успения Пресвятой Богородицы,Республика Карелия,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы"
Достопримечательности,Петрозаводск,Онежское озеро,Республика Карелия,Природа и парки,Водоемы
Достопримечательности,Сортавала,"Городской парк ""Ваккосалми""",Республика Карелия,Природа и парки,Парки
Достопримечательности,Сортавала,"Исторический парк ""Бастионъ""",Республика Карелия,Музеи,Исторические музеи
Достопримечательности,Петрозаводск,Квартал исторической застройки Петрозаводска,Республика Карелия,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Петрозаводск,Национальный музей Республики Карелия,Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Лахденпохский район,Гора Филина,Республика Карелия,Музеи,"Исторические музеи,Военные музеи"
Достопримечательности,Петрозаводск,Памятник Петру I,Республика Карелия,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Валаам,Валаамский монастырь,Республика Карелия,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Велотрассы"
Достопримечательности,Рускеала,Сад камней,Республика Карелия,Природа и парки,Сады
Достопримечательности,Сортавала,Гора Паасо,Республика Карелия,Природа и парки,Горы
Достопримечательности,Развлечения в Республике Карелия,Шардонские острова на Онежском озере,Республика Карелия,Природа и парки,Острова
Достопримечательности,Сортавала,Культурно-выставочный центр имени Гоголева К.А.,Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Петрозаводск,Музей изобразительных искусств Республики Карелия,Республика Карелия,Музеи,Музеи искусств
Достопримечательности,Рускеала,Рускеальские водопады,Республика Карелия,Природа и парки,Водопады
Достопримечательности,Развлечения в Республике Карелия,Озеро Ладога,Республика Карелия,Природа и парки,Водоемы
Достопримечательности,Петрозаводск,Зоокомплекс Три Медведя,Республика Карелия,Зоопарки и океанариумы,Зоопарки
Достопримечательности,Петрозаводск,"Морской музей клуба ""Полярный Одиссей""",Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Сортавала,"Валаам Остров, Природный Парк",Республика Карелия,Природа и парки,Парки
Достопримечательности,Рускеала,"Горный парк ""Рускеала""",Республика Карелия,развлечения поблизости.,"Горы,Парки"
Достопримечательности,Развлечения в Республике Карелия,Гора Воттоваара,Республика Карелия,Природа и парки,Горы
Достопримечательности,Петрозаводск,Набережная Онежского озера,Республика Карелия,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Республике Карелия,Государственный заповедник Кивач,Республика Карелия,Природа и парки,"Природные и заповедные зоны,Водопады"
category,city,name,region,subcategory,tags
Достопримечательности,Кемь,Остров Немецкий кузов,Республика Карелия,Природа и парки,Острова
Достопримечательности,Сортавала,Региональный музей Северного Приладожья,Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Беломорск,Беломорские Петроглифы Беломорский Районный Краеведческий Музей,Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Чална,Вотчина Карельского Деда Мороза Талви Укко,Республика Карелия,Достопримечательности и культурные объекты,"Фермы,Специализированные музеи"
Достопримечательности,Лахденпохский район,Руины Лютеранской Церкви Прихода Яккима,Республика Карелия,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Древние руины,Церкви и соборы"
Достопримечательности,Петрозаводск,Губернаторский парк,Республика Карелия,Природа и парки,Парки
Достопримечательности,Пяозерский,Национальный парк Паанаярви,Республика Карелия,Природа и парки,Национальные парки
Достопримечательности,Олонец,Собор Смоленской иконы Божией матери,Республика Карелия,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Лахденпохский район,Усадьба Ларса Сонка,Республика Карелия,Музеи,Специализированные музеи
Достопримечательности,Петрозаводск,Музыкальный театр Республики Карелия,Республика Карелия,Концерты и представления,Театры
Достопримечательности,Куликово,Памятник И.Н. Куликову и А.Ф. Типанову,Республика Карелия,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Медвежьегорск,Медвежьегорский Городской Музей,Республика Карелия,развлечения поблизости.,Специализированные музеи
Достопримечательности,Сортавала,Рысья Гора,Республика Карелия,Природа и парки,Горы
Достопримечательности,Валаам,Смотровая площадка на горе Елеон,Республика Карелия,Достопримечательности и культурные объекты,"Леса,Обзорные площадки,Горы"
Достопримечательности,Петрозаводск,Римско-католическая церковь,Республика Карелия,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Пудож,Онежские петроглифы,Республика Карелия,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Геологические образования"
Достопримечательности,Лахденпохский район,Церковь Илии Пророка,Республика Карелия,Достопримечательности и культурные объекты,Церкви и соборы
